0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:15 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:19 +0900] "GET /damin/mall/list HTTP/1.1" 200 16346
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:19 +0900] "GET /damin/resources/upload/p_image/530_2(16).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:19 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:19 +0900] "GET /damin/resources/upload/p_image/530_1(15).jpg HTTP/1.1" 200 124987
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:20 +0900] "GET /damin/mall/view?p_seq=19 HTTP/1.1" 200 11501
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:20 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:20 +0900] "GET /damin/resources/upload/p_image/530_1(15).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:24 +0900] "GET /damin/mall/view?p_seq=19 HTTP/1.1" 200 11501
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:24 +0900] "GET /damin/resources/upload/p_image/530_1(15).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:24 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:26 +0900] "GET /damin/mall/delete?mode=&p_seq=19 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:26 +0900] "GET /damin/mall/none HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:26 +0900] "GET /damin/mall/list HTTP/1.1" 200 15940
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:26 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:26 +0900] "GET /damin/resources/upload/p_image/530_1(14).jpg HTTP/1.1" 304 -
